n_e20_avg[1/m^3],T_e_avg[keV],I_ST[kg],TBR,TBR_DDn,Cost_per_kWh[USD/MWh],Tdot_fusion[T/s],Tdot_breedingDT[T/s],Tdot_breedingDD[T/s],Tdot_diff[T/s],Tdot_tot[T/s],startup_time[hour],Pf_DD[MW],Pf_DD_DT[MW],Pf_DD_DHe3[MW],Pf_DD_tot[MW],Pf_DT[MW],P_e_net_DD[MW],Q_DD,P_e_net_DT[MW],Q_DT,E_lost[MJ],Dollar_lost[USD]
1.000000000000000000e+00,1.400000000000000000e+01,1.000000000000000056e-01,5.000000000000000000e-01,1.000000000000000000e+00,1.499999999999999944e-01,8.849334667016898560e+17,1.064328188792336800e+16,9.618415146622394880e+17,8.850219688985795840e+17,1.857418263251852800e+18,3.015106899721330137e+03,1.118325437051273408e+00,6.002450977566991391e-02,2.477030083115805870e-04,1.178597649835255057e+00,2.543602656341173827e+02,-9.966450236888461234e+01,-9.888167456294872926e-01,-2.369192030976478591e+01,1.543602656341173773e+00,8.246356428819496632e+08,3.435981845341456681e+07
1.000000000000000000e+00,1.400000000000000000e+01,1.000000000000000056e-01,5.000000000000000000e-01,1.000000000000000000e+00,2.374999999999999889e-01,8.849334667016898560e+17,1.064328188792336800e+16,9.618415146622394880e+17,8.850219688985795840e+17,1.857418263251852800e+18,3.015106899721330137e+03,1.118325437051273408e+00,6.002450977566991391e-02,2.477030083115805870e-04,1.178597649835255057e+00,2.543602656341173827e+02,-9.966450236888461234e+01,-9.888167456294872926e-01,-2.369192030976478591e+01,1.543602656341173773e+00,8.246356428819496632e+08,5.440304588457307220e+07
1.000000000000000000e+00,1.400000000000000000e+01,1.000000000000000056e-01,5.000000000000000000e-01,1.000000000000000000e+00,3.249999999999999556e-01,8.849334667016898560e+17,1.064328188792336800e+16,9.618415146622394880e+17,8.850219688985795840e+17,1.857418263251852800e+18,3.015106899721330137e+03,1.118325437051273408e+00,6.002450977566991391e-02,2.477030083115805870e-04,1.178597649835255057e+00,2.543602656341173827e+02,-9.966450236888461234e+01,-9.888167456294872926e-01,-2.369192030976478591e+01,1.543602656341173773e+00,8.246356428819496632e+08,7.444627331573155522e+07
1.000000000000000000e+00,1.400000000000000000e+01,1.000000000000000056e-01,5.000000000000000000e-01,1.000000000000000000e+00,4.124999999999999778e-01,8.849334667016898560e+17,1.064328188792336800e+16,9.618415146622394880e+17,8.850219688985795840e+17,1.857418263251852800e+18,3.015106899721330137e+03,1.118325437051273408e+00,6.002450977566991391e-02,2.477030083115805870e-04,1.178597649835255057e+00,2.543602656341173827e+02,-9.966450236888461234e+01,-9.888167456294872926e-01,-2.369192030976478591e+01,1.543602656341173773e+00,8.246356428819496632e+08,9.448950074689006805e+07
1.000000000000000000e+00,1.400000000000000000e+01,1.000000000000000056e-01,5.000000000000000000e-01,1.000000000000000000e+00,5.000000000000000000e-01,8.849334667016898560e+17,1.064328188792336800e+16,9.618415146622394880e+17,8.850219688985795840e+17,1.857418263251852800e+18,3.015106899721330137e+03,1.118325437051273408e+00,6.002450977566991391e-02,2.477030083115805870e-04,1.178597649835255057e+00,2.543602656341173827e+02,-9.966450236888461234e+01,-9.888167456294872926e-01,-2.369192030976478591e+01,1.543602656341173773e+00,8.246356428819496632e+08,1.145327281780485660e+08
1.000000000000000000e+00,1.400000000000000000e+01,1.000000000000000056e-01,6.999999999999999556e-01,5.000000000000000000e-01,1.499999999999999944e-01,8.849334667016898560e+17,1.490059464309271400e+16,4.809207573311197440e+17,8.850219688985795840e+17,1.380754818675902464e+18,4.069677912167583600e+03,1.118325437051273408e+00,6.002450977566991391e-02,2.477030083115805870e-04,1.178597649835255057e+00,2.543602656341173827e+02,-9.966450236888461234e+01,-9.888167456294872926e-01,-2.369192030976478591e+01,1.543602656341173773e+00,1.113062180890820980e+09,4.637759087045087665e+07
1.000000000000000000e+00,1.400000000000000000e+01,1.000000000000000056e-01,6.999999999999999556e-01,5.000000000000000000e-01,2.374999999999999889e-01,8.849334667016898560e+17,1.490059464309271400e+16,4.809207573311197440e+17,8.850219688985795840e+17,1.380754818675902464e+18,4.069677912167583600e+03,1.118325437051273408e+00,6.002450977566991391e-02,2.477030083115805870e-04,1.178597649835255057e+00,2.543602656341173827e+02,-9.966450236888461234e+01,-9.888167456294872926e-01,-2.369192030976478591e+01,1.543602656341173773e+00,1.113062180890820980e+09,7.343118554488055408e+07
1.000000000000000000e+00,1.400000000000000000e+01,1.000000000000000056e-01,6.999999999999999556e-01,5.000000000000000000e-01,3.249999999999999556e-01,8.849334667016898560e+17,1.490059464309271400e+16,4.809207573311197440e+17,8.850219688985795840e+17,1.380754818675902464e+18,4.069677912167583600e+03,1.118325437051273408e+00,6.002450977566991391e-02,2.477030083115805870e-04,1.178597649835255057e+00,2.543602656341173827e+02,-9.966450236888461234e+01,-9.888167456294872926e-01,-2.369192030976478591e+01,1.543602656341173773e+00,1.113062180890820980e+09,1.004847802193102092e+08
1.000000000000000000e+00,1.400000000000000000e+01,1.000000000000000056e-01,6.999999999999999556e-01,5.000000000000000000e-01,4.124999999999999778e-01,8.849334667016898560e+17,1.490059464309271400e+16,4.809207573311197440e+17,8.850219688985795840e+17,1.380754818675902464e+18,4.069677912167583600e+03,1.118325437051273408e+00,6.002450977566991391e-02,2.477030083115805870e-04,1.178597649835255057e+00,2.543602656341173827e+02,-9.966450236888461234e+01,-9.888167456294872926e-01,-2.369192030976478591e+01,1.543602656341173773e+00,1.113062180890820980e+09,1.275383748937399089e+08
1.000000000000000000e+00,1.400000000000000000e+01,1.000000000000000056e-01,6.999999999999999556e-01,5.000000000000000000e-01,5.000000000000000000e-01,8.849334667016898560e+17,1.490059464309271400e+16,4.809207573311197440e+17,8.850219688985795840e+17,1.380754818675902464e+18,4.069677912167583600e+03,1.118325437051273408e+00,6.002450977566991391e-02,2.477030083115805870e-04,1.178597649835255057e+00,2.543602656341173827e+02,-9.966450236888461234e+01,-9.888167456294872926e-01,-2.369192030976478591e+01,1.543602656341173773e+00,1.113062180890820980e+09,1.545919695681695938e+08
1.000000000000000000e+00,1.400000000000000000e+01,1.000000000000000056e-01,6.999999999999999556e-01,6.250000000000000000e-01,1.499999999999999944e-01,8.849334667016898560e+17,1.490059464309271400e+16,6.011509466638996480e+17,8.850219688985795840e+17,1.500985008008682240e+18,3.739748109884131281e+03,1.118325437051273408e+00,6.002450977566991391e-02,2.477030083115805870e-04,1.178597649835255057e+00,2.543602656341173827e+02,-9.966450236888461234e+01,-9.888167456294872926e-01,-2.369192030976478591e+01,1.543602656341173773e+00,1.022825952570997596e+09,4.261774802379156649e+07
1.000000000000000000e+00,1.400000000000000000e+01,1.000000000000000056e-01,6.999999999999999556e-01,6.250000000000000000e-01,2.374999999999999889e-01,8.849334667016898560e+17,1.490059464309271400e+16,6.011509466638996480e+17,8.850219688985795840e+17,1.500985008008682240e+18,3.739748109884131281e+03,1.118325437051273408e+00,6.002450977566991391e-02,2.477030083115805870e-04,1.178597649835255057e+00,2.543602656341173827e+02,-9.966450236888461234e+01,-9.888167456294872926e-01,-2.369192030976478591e+01,1.543602656341173773e+00,1.022825952570997596e+09,6.747810103766997159e+07
1.000000000000000000e+00,1.400000000000000000e+01,1.000000000000000056e-01,6.999999999999999556e-01,6.250000000000000000e-01,3.249999999999999556e-01,8.849334667016898560e+17,1.490059464309271400e+16,6.011509466638996480e+17,8.850219688985795840e+17,1.500985008008682240e+18,3.739748109884131281e+03,1.118325437051273408e+00,6.002450977566991391e-02,2.477030083115805870e-04,1.178597649835255057e+00,2.543602656341173827e+02,-9.966450236888461234e+01,-9.888167456294872926e-01,-2.369192030976478591e+01,1.543602656341173773e+00,1.022825952570997596e+09,9.233845405154837668e+07
1.000000000000000000e+00,1.400000000000000000e+01,1.000000000000000056e-01,6.999999999999999556e-01,6.250000000000000000e-01,4.124999999999999778e-01,8.849334667016898560e+17,1.490059464309271400e+16,6.011509466638996480e+17,8.850219688985795840e+17,1.500985008008682240e+18,3.739748109884131281e+03,1.118325437051273408e+00,6.002450977566991391e-02,2.477030083115805870e-04,1.178597649835255057e+00,2.543602656341173827e+02,-9.966450236888461234e+01,-9.888167456294872926e-01,-2.369192030976478591e+01,1.543602656341173773e+00,1.022825952570997596e+09,1.171988070654267967e+08
1.000000000000000000e+00,1.400000000000000000e+01,1.000000000000000056e-01,6.999999999999999556e-01,6.250000000000000000e-01,5.000000000000000000e-01,8.849334667016898560e+17,1.490059464309271400e+16,6.011509466638996480e+17,8.850219688985795840e+17,1.500985008008682240e+18,3.739748109884131281e+03,1.118325437051273408e+00,6.002450977566991391e-02,2.477030083115805870e-04,1.178597649835255057e+00,2.543602656341173827e+02,-9.966450236888461234e+01,-9.888167456294872926e-01,-2.369192030976478591e+01,1.543602656341173773e+00,1.022825952570997596e+09,1.420591600793052018e+08
1.000000000000000000e+00,1.400000000000000000e+01,1.000000000000000056e-01,6.999999999999999556e-01,7.500000000000000000e-01,1.499999999999999944e-01,8.849334667016898560e+17,1.490059464309271400e+16,7.213811359966796800e+17,8.850219688985795840e+17,1.621215197341462272e+18,3.459303694958070537e+03,1.118325437051273408e+00,6.002450977566991391e-02,2.477030083115805870e-04,1.178597649835255057e+00,2.543602656341173827e+02,-9.966450236888461234e+01,-9.888167456294872926e-01,-2.369192030976478591e+01,1.543602656341173773e+00,9.461240417974264622e+08,3.942183507489276677e+07
1.000000000000000000e+00,1.400000000000000000e+01,1.000000000000000056e-01,6.999999999999999556e-01,7.500000000000000000e-01,2.374999999999999889e-01,8.849334667016898560e+17,1.490059464309271400e+16,7.213811359966796800e+17,8.850219688985795840e+17,1.621215197341462272e+18,3.459303694958070537e+03,1.118325437051273408e+00,6.002450977566991391e-02,2.477030083115805870e-04,1.178597649835255057e+00,2.543602656341173827e+02,-9.966450236888461234e+01,-9.888167456294872926e-01,-2.369192030976478591e+01,1.543602656341173773e+00,9.461240417974264622e+08,6.241790553524688631e+07
